zipcode,median_income,population,households,housing_units,homeowner_vacancy_rate,rental_vacancy_rate,occupied_housing_units,latitude,longitude,median_rooms,median_rent,median_value,value_to_income
95632,74190.0,31470,10021,10327,1.0,2.3,10021,38.27705,-121.26128,5.7,1485.0,466200.0,6.28
95633,74362.0,3017,1252,1391,2.7,10.5,1252,38.84919,-120.82328,5.6,2155.0,385200.0,5.18
95634,54013.0,3109,1201,1499,0.2,15.8,1201,38.9123,-120.69443,5.2,1684.0,335900.0,6.22
95635,57899.0,1236,487,567,2.2,4.1,487,38.91111,-120.90043,5.9,,450300.0,7.78
95636,49981.0,1109,478,667,6.8,12.8,478,38.6274,-120.51852,5.4,,313500.0,6.27
95637,51641.0,322,144,168,4.9,0.0,144,38.85283,-122.2729,4.9,,528400.0,10.23
95638,81500.0,2295,740,789,1.9,5.8,740,38.33969,-121.11481,6.2,1203.0,619500.0,7.6
95639,59226.0,273,107,115,0.0,0.0,107,38.39202,-121.49599,4.6,2038.0,,
95640,67635.0,12831,3451,3718,1.2,5.7,3451,38.33922,-120.94024,5.6,1214.0,427000.0,6.31
95641,36932.0,2266,1087,1340,2.0,11.3,1087,38.15046,-121.60271,4.3,1003.0,222600.0,6.03
95642,54004.0,7544,3270,3617,2.7,6.1,3270,38.3434,-120.76398,5.4,1428.0,425700.0,7.88
95645,40500.0,1715,547,579,0.6,0.0,547,38.89025,-121.79992,5.0,988.0,337300.0,8.33
95646,60875.0,188,78,642,4.0,8.1,78,38.63828,-120.01813,4.2,,529800.0,8.7
95648,81267.0,54483,20630,21298,1.0,2.6,20630,38.92643,-121.31101,6.0,2026.0,603600.0,7.43
95650,93783.0,13446,4798,4969,0.7,3.0,4798,38.81339,-121.16831,6.4,1681.0,763200.0,8.14
95651,80926.0,763,299,327,0.0,4.8,299,38.82088,-120.93515,4.4,1375.0,629700.0,7.78
95652,51250.0,914,313,321,12.5,2.2,313,38.66265,-121.40079,4.5,935.0,,
95653,58646.0,579,151,162,0.0,0.0,151,38.69151,-121.97723,4.2,,237500.0,4.05
95655,89107.0,4767,1495,1586,0.5,2.5,1495,38.54976,-121.27898,5.9,,528800.0,5.93
95658,82781.0,6532,2484,2620,0.9,2.9,2484,38.87938,-121.15173,6.3,1456.0,786500.0,9.5
95659,64375.0,724,275,301,0.9,3.0,275,38.84594,-121.57679,5.9,1273.0,482100.0,7.49
95660,45328.0,35368,10748,11147,1.4,3.9,10748,38.67883,-121.3805,5.2,1473.0,304200.0,6.71
95661,83289.0,32847,12926,13452,0.5,5.3,12926,38.74129,-121.24925,5.9,1858.0,623800.0,7.49
95662,77993.0,32688,12453,12877,0.7,5.5,12453,38.68917,-121.21988,5.8,1771.0,470200.0,6.03
95663,98393.0,2905,1024,1067,0.4,3.3,1024,38.85739,-121.18251,6.4,1417.0,792000.0,8.05
95664,71921.0,1329,540,590,2.2,8.9,540,38.79755,-121.05136,5.5,1357.0,391200.0,5.44
95665,69265.0,4657,1950,2198,1.9,2.7,1950,38.39587,-120.65238,5.2,1286.0,363700.0,5.25
95666,57813.0,5398,2512,3735,3.3,5.2,2512,38.54113,-120.33076,5.2,1005.0,328900.0,5.69
95667,69443.0,37283,15227,16405,1.4,4.9,15227,38.73407,-120.79216,5.5,1377.0,485900.0,7.0
95668,64375.0,872,290,318,0.5,0.0,290,38.82708,-121.49378,5.5,2036.0,555200.0,8.62
95669,70417.0,2431,968,1151,2.5,5.4,968,38.49522,-120.89157,5.6,1201.0,550500.0,7.82
95670,64784.0,57988,22125,22790,1.0,3.0,22125,38.60461,-121.27963,5.2,1587.0,432900.0,6.68
95672,102750.0,4700,1675,1760,1.6,7.9,1675,38.72664,-120.99638,6.3,2123.0,664500.0,6.47
95673,62604.0,16290,5060,5248,1.1,2.6,5060,38.69029,-121.46603,5.7,1654.0,390700.0,6.24
95674,83654.0,855,308,344,1.0,5.6,308,38.95396,-121.48187,5.7,1047.0,612500.0,7.32
95675,37772.0,390,163,199,5.2,7.5,163,38.54548,-120.74277,5.6,,,
95677,87014.0,28351,10638,11007,0.5,5.4,10638,38.79298,-121.23133,6.2,1994.0,597200.0,6.86
95678,70060.0,45136,17452,18016,0.8,2.8,17452,38.76536,-121.28847,5.3,1929.0,486200.0,6.94
95679,,91,39,49,10.0,0.0,39,38.90524,-122.26727,4.8,,,
95680,,121,48,49,0.0,0.0,48,38.24142,-121.57816,,,,
95681,53362.0,1324,434,457,0.3,2.7,434,38.99809,-121.35422,5.4,1522.0,366000.0,6.86
95682,87743.0,30233,11659,12118,0.9,4.5,11659,38.60537,-120.96175,6.1,1711.0,640700.0,7.3
95683,107395.0,6550,2709,2838,2.1,5.4,2709,38.51018,-121.09894,6.8,2437.0,619300.0,5.77
95684,60163.0,3283,1422,1731,2.6,5.6,1422,38.59098,-120.55066,5.5,1653.0,558900.0,9.29
95685,61270.0,4542,2131,2403,1.4,8.3,2131,38.42716,-120.76698,5.2,1241.0,528700.0,8.63
95686,41094.0,1338,438,477,0.0,3.8,438,38.19039,-121.48543,5.1,834.0,357600.0,8.7
95687,81586.0,69837,23315,24043,0.7,4.1,23315,38.3344,-121.91765,5.7,2158.0,540800.0,6.63
95688,88053.0,39571,14161,14706,0.7,4.6,14161,38.41901,-122.02571,6.2,2022.0,638100.0,7.25
95689,56146.0,1274,559,762,2.7,34.2,559,38.47088,-120.61566,5.3,,459100.0,8.18
95690,56850.0,2270,836,961,0.5,1.3,836,38.23429,-121.58672,4.9,1141.0,688800.0,12.12
95691,73086.0,39849,14388,14831,0.6,3.5,14388,38.62394,-121.58272,5.4,1435.0,485400.0,6.64
95692,72555.0,4975,1773,1830,0.6,0.8,1773,39.04699,-121.40471,5.2,1434.0,387100.0,5.34
95693,100679.0,7549,2596,2778,0.4,2.4,2596,38.39851,-121.21956,6.4,1801.0,773900.0,7.69
95694,82620.0,9629,3273,3469,1.9,2.8,3273,38.56163,-122.00609,5.7,1395.0,550600.0,6.66
95695,62380.0,38956,14328,14817,0.6,2.8,14328,38.68847,-121.85666,5.1,1376.0,475100.0,7.62
95697,69688.0,396,142,147,1.6,0.0,142,38.73284,-121.80701,4.4,1619.0,,
95698,,213,86,89,0.0,0.0,86,38.8187,-121.91012,6.2,,900700.0,
95699,,175,86,96,1.9,0.0,86,38.44074,-120.85702,,,,
95701,71058.0,986,392,506,1.2,2.6,392,39.22633,-120.76741,5.1,,506900.0,7.13
95703,82794.0,1943,770,833,2.9,4.3,770,38.99156,-120.9864,5.7,1207.0,610300.0,7.37
95709,76472.0,4874,1992,2192,0.7,8.7,1992,38.74886,-120.68134,5.8,1405.0,543000.0,7.1
95713,64176.0,9156,3732,4001,1.1,3.7,3732,39.08477,-120.92788,5.3,1331.0,484600.0,7.55
95714,46705.0,360,173,257,1.4,0.0,173,39.2013,-120.83677,5.1,1156.0,368600.0,7.89
95715,50250.0,98,34,109,12.8,0.0,34,39.27495,-120.64388,4.1,,350000.0,6.97
95717,54643.0,243,105,115,5.8,7.0,105,39.14258,-120.84268,5.1,929.0,575000.0,10.52
95720,43750.0,133,59,353,0.0,11.1,59,38.84536,-120.26021,3.9,,506300.0,11.57
95721,,32,24,325,0.0,0.0,24,38.82341,-120.09379,4.0,,,
95722,98295.0,4682,1854,1995,1.2,1.2,1854,39.00467,-121.02891,6.4,1641.0,655000.0,6.66
95726,62699.0,8985,3768,4667,1.7,7.4,3768,38.75418,-120.41989,5.1,968.0,388400.0,6.19
95728,,457,215,1167,2.5,18.5,215,39.29673,-120.40358,5.2,1778.0,919400.0,
95735,151250.0,87,39,680,0.0,0.0,39,38.82986,-120.17936,3.9,,525000.0,3.47
95736,,339,74,81,0.0,10.8,74,39.03905,-120.97738,4.7,,,
95742,126348.0,16260,4822,4968,1.9,3.2,4822,38.5735,-121.19854,7.1,2429.0,589400.0,4.66
95746,135360.0,22166,7719,7945,0.5,4.3,7719,38.75009,-121.16712,7.6,2576.0,965500.0,7.13
95747,103895.0,75019,26622,27698,1.3,5.9,26622,38.77963,-121.36798,6.3,2061.0,625400.0,6.02
95757,101823.0,55257,15655,16120,1.2,2.4,15655,38.33886,-121.43643,6.6,2395.0,616200.0,6.05
95758,79885.0,64517,21671,22160,0.5,3.3,21671,38.42932,-121.44603,6.1,2063.0,503100.0,6.3
95762,132470.0,47354,16601,17098,0.8,4.4,16601,38.67694,-121.05755,7.2,2364.0,822200.0,6.21
95765,106554.0,43120,14649,15082,0.9,4.3,14649,38.81982,-121.27772,6.2,2186.0,659900.0,6.19
95776,77699.0,26612,8197,8498,2.2,1.9,8197,38.68889,-121.70776,5.6,1611.0,496400.0,6.39
95811,52145.0,12463,4322,5143,3.7,13.7,4322,38.58761,-121.49077,3.4,1463.0,629700.0,12.08
95814,35264.0,12208,6534,7277,2.1,6.4,6534,38.58064,-121.49488,2.8,1195.0,619200.0,17.56
95815,31467.0,27838,9600,10233,1.6,5.2,9600,38.60544,-121.44497,4.4,1372.0,270900.0,8.61
