zipcode,median_income,population,households,housing_units,homeowner_vacancy_rate,rental_vacancy_rate,occupied_housing_units,latitude,longitude,median_rooms,median_rent,median_value,value_to_income,value_to_income_rank,population_rank,homeowner_vacancy_rate_rank,business_rank,median_income_rank
92129,121357.0,52415,17539,17828,0.4,2.5,17539,32.96354,-117.12622,6.2,2555.0,932400.0,7.683116754698946,294,202,381,143,28
92130,149344.0,61595,21676,23045,0.6,8.5,21676,32.94763,-117.20586,5.8,3090.0,1438500.0,9.632124491107778,185,115,274,35,9
92154,64942.0,84027,22455,23036,0.7,3.0,22455,32.578,-116.96621,5.5,1986.0,578700.0,8.911028302177327,229,22,228,257,234
92201,42757.0,66989,20900,24548,1.4,4.7,20900,33.70804,-116.23502,4.9,1304.0,321000.0,7.5075426245994805,307,76,39,743,399
92223,73588.0,59924,19588,20246,1.2,2.9,19588,33.9382,-116.98137,6.0,1413.0,423100.0,5.749578735663423,413,129,59,665,182
92231,40759.0,39542,10589,10945,0.6,2.2,10589,32.68751,-115.56433,5.2,1086.0,263200.0,6.457469515935131,376,400,274,915,413
92234,46367.0,51509,18174,22663,1.7,5.8,18174,33.81386,-116.46663,4.8,1445.0,381800.0,8.234304570060603,264,210,23,833,382
92236,34222.0,42220,9882,10162,0.6,1.7,9882,33.70276,-116.07254,5.2,982.0,301900.0,8.821810531237215,234,351,274,743,432
92240,36067.0,40920,13339,14903,2.3,5.3,13339,33.95291,-116.5194,4.8,1277.0,272600.0,7.558155654753653,305,378,9,1099,425
92243,46648.0,49149,15589,16709,1.1,4.6,15589,32.77285,-115.60065,4.7,936.0,260400.0,5.582232893157263,418,238,74,960,378
92301,38591.0,38912,9456,9917,1.3,4.5,9456,34.65183,-117.52617,5.8,1309.0,276100.0,7.154517892772926,337,412,43,1122,416
92307,58819.0,41649,13706,14542,2.2,4.4,13706,34.59078,-117.14127,6.2,1297.0,356600.0,6.062666825345552,402,361,13,1036,286
92308,49098.0,42469,15238,16228,1.9,4.9,15238,34.42005,-117.15558,5.9,1315.0,333500.0,6.79253737423113,357,343,17,1043,360
92324,51105.0,58626,17358,18024,0.7,4.6,17358,34.03398,-117.29008,4.8,1460.0,376200.0,7.361314939829763,320,136,228,573,345
92335,50730.0,96605,24647,25195,0.4,2.0,24647,34.08733,-117.46519,4.7,1533.0,406600.0,8.014981273408239,278,7,381,254,350
92336,90172.0,100594,26109,26596,0.8,3.0,26109,34.13686,-117.46033,6.2,1968.0,574800.0,6.374484318857295,380,4,182,314,112
92345,50836.0,86499,25873,26990,1.1,4.5,25873,34.36415,-117.30984,5.9,1376.0,330400.0,6.499331182626485,374,17,74,664,347
92346,61823.0,57812,17992,18563,1.0,3.8,17992,34.12629,-117.1792,5.7,1437.0,430400.0,6.961810329489025,347,146,106,649,262
92374,71297.0,43587,14260,15112,1.2,7.4,14260,34.06738,-117.17482,5.4,1816.0,471700.0,6.615986647404519,368,326,59,827,192
92376,52618.0,84548,21997,22592,0.5,3.7,21997,34.11053,-117.37997,5.2,1508.0,388100.0,7.375802957162948,317,20,321,351,335
92392,57885.0,62294,17196,18240,2.5,5.1,17196,34.479,-117.40884,6.2,1707.0,328200.0,5.669862658719875,414,111,7,811,293
92394,53636.0,41057,9882,10289,1.8,3.8,9882,34.563,-117.3542,6.3,1441.0,308600.0,5.7535983294802,412,372,21,1087,324
92395,47921.0,47556,15342,16647,3.3,6.7,15342,34.50032,-117.29479,5.5,1375.0,291200.0,6.076667849168423,400,255,4,1017,366
92399,63984.0,55794,19868,20605,0.9,4.3,19868,34.04469,-117.004,5.6,1463.0,435400.0,6.804826206551638,356,162,143,617,242
92404,44474.0,64270,18573,19335,1.1,4.1,18573,34.17862,-117.23891,4.9,1272.0,347300.0,7.809056977110222,287,92,74,696,391
92407,63171.0,67814,18491,19311,0.8,5.6,18491,34.22394,-117.38839,5.4,1608.0,440600.0,6.974719412388596,346,73,182,487,250
